name;email;age;salary;isActive
Layla;Layla13@gmail.com;15;9261;true
Leann;Leann97@hotmail.com;58;2398;true
Fern;Fern.Torp@yahoo.com;11;0681;true
Ronaldo;Ronaldo.Bernhard@hotmail.com;58;5808;false
Angelo;Angelo_Reichert@hotmail.com;19;0735;false
Ansel;Ansel2@gmail.com;46;4734;false
Jessie;Jessie27@yahoo.com;68;6083;true
Amalia;Amalia.Ward93@hotmail.com;46;1647;true
Barry;Barry.Bauch@hotmail.com;32;6797;false
Annetta;Annetta68@yahoo.com;72;9997;true
Chauncey;Chauncey.Steuber@hotmail.com;34;9925;true
Ima;Ima.Hessel25@hotmail.com;70;6886;true
Lucile;Lucile_McCullough@gmail.com;77;6465;false
Waylon;Waylon36@gmail.com;15;0793;true
Delta;Delta.Bergstrom@hotmail.com;15;8543;true
Kirk;Kirk4@hotmail.com;58;8531;true
Else;Else75@yahoo.com;63;7004;false
Lennie;Lennie98@yahoo.com;75;2081;false
Greg;Greg.Grant@hotmail.com;54;8606;false
Morgan;Morgan.Simonis4@yahoo.com;27;8147;false
Savannah;Savannah_Roob@yahoo.com;94;6331;false
Hassan;Hassan_Jenkins23@hotmail.com;25;8753;false
Jose;Jose.Rath82@hotmail.com;43;6130;true
Erling;Erling55@gmail.com;59;6468;true
Leonora;Leonora.Berge23@hotmail.com;64;4516;true
Ophelia;Ophelia.Cummerata38@gmail.com;52;5404;true
Jeffry;Jeffry1@yahoo.com;62;5388;false
Emmanuel;Emmanuel78@hotmail.com;86;5199;true
Saul;Saul.Flatley99@gmail.com;37;9676;false
Emilie;Emilie27@hotmail.com;38;7188;true
Etha;Etha81@yahoo.com;35;5286;false
Laverne;Laverne_Bartoletti@hotmail.com;94;0618;true
Karlee;Karlee12@yahoo.com;64;1152;true
Dayton;Dayton_Kling@hotmail.com;86;0285;false
Lynn;Lynn_West@yahoo.com;27;8729;true
Darlene;Darlene.Dickens@hotmail.com;22;0949;true
